date,hour,timestamp,country,price
2022/01/05,23:00 - 00:00,2022-01-05 23:00:00,belgium,171.8
2022/01/06,00:00 - 01:00,2022-01-06 00:00:00,belgium,191.54
2022/01/06,01:00 - 02:00,2022-01-06 01:00:00,belgium,190.0
2022/01/06,02:00 - 03:00,2022-01-06 02:00:00,belgium,191.34
2022/01/06,03:00 - 04:00,2022-01-06 03:00:00,belgium,176.57
2022/01/06,04:00 - 05:00,2022-01-06 04:00:00,belgium,187.3
2022/01/06,05:00 - 06:00,2022-01-06 05:00:00,belgium,193.9
2022/01/06,06:00 - 07:00,2022-01-06 06:00:00,belgium,220.09
2022/01/06,07:00 - 08:00,2022-01-06 07:00:00,belgium,228.25
2022/01/06,08:00 - 09:00,2022-01-06 08:00:00,belgium,252.43
2022/01/06,09:00 - 10:00,2022-01-06 09:00:00,belgium,300.0
2022/01/06,10:00 - 11:00,2022-01-06 10:00:00,belgium,273.64
2022/01/06,11:00 - 12:00,2022-01-06 11:00:00,belgium,231.9
2022/01/06,12:00 - 13:00,2022-01-06 12:00:00,belgium,226.0
2022/01/06,13:00 - 14:00,2022-01-06 13:00:00,belgium,209.2
2022/01/06,14:00 - 15:00,2022-01-06 14:00:00,belgium,216.06
2022/01/06,15:00 - 16:00,2022-01-06 15:00:00,belgium,230.77
2022/01/06,16:00 - 17:00,2022-01-06 16:00:00,belgium,245.95
2022/01/06,17:00 - 18:00,2022-01-06 17:00:00,belgium,274.11
2022/01/06,18:00 - 19:00,2022-01-06 18:00:00,belgium,273.44
2022/01/06,19:00 - 20:00,2022-01-06 19:00:00,belgium,230.0
2022/01/06,20:00 - 21:00,2022-01-06 20:00:00,belgium,215.43
2022/01/06,21:00 - 22:00,2022-01-06 21:00:00,belgium,192.62
2022/01/06,22:00 - 23:00,2022-01-06 22:00:00,belgium,163.05
2022/01/06,23:00 - 00:00,2022-01-06 23:00:00,belgium,87.94
2022/01/07,00:00 - 01:00,2022-01-07 00:00:00,belgium,83.81
2022/01/07,01:00 - 02:00,2022-01-07 01:00:00,belgium,87.77
2022/01/07,02:00 - 03:00,2022-01-07 02:00:00,belgium,72.38
2022/01/07,03:00 - 04:00,2022-01-07 03:00:00,belgium,76.79
2022/01/07,04:00 - 05:00,2022-01-07 04:00:00,belgium,77.7
2022/01/07,05:00 - 06:00,2022-01-07 05:00:00,belgium,95.23
2022/01/07,06:00 - 07:00,2022-01-07 06:00:00,belgium,141.8
2022/01/07,07:00 - 08:00,2022-01-07 07:00:00,belgium,164.21
2022/01/07,08:00 - 09:00,2022-01-07 08:00:00,belgium,214.76
2022/01/07,09:00 - 10:00,2022-01-07 09:00:00,belgium,243.88
2022/01/07,10:00 - 11:00,2022-01-07 10:00:00,belgium,203.35
2022/01/07,11:00 - 12:00,2022-01-07 11:00:00,belgium,215.69
